Cancer Mortality Rates by County in New Jersey
"All Sites, 1993"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Salem,65035,185,284.5,262.4,225.7,303.5
Essex,785960,1867,237.5,250.4,239.2,262.1
Sussex,135646,249,183.6,247.0,217.0,279.8
Atlantic,234288,604,257.8,244.9,225.5,265.4
Hudson,568517,1292,227.3,244.1,230.9,257.9
Camden,508094,1147,225.8,242.4,228.5,257.0
Cape May,98504,336,341.1,242.3,216.4,270.8
Monmouth,571129,1342,235.0,238.2,225.6,251.3
Mercer,333292,764,229.2,231.8,215.5,249.0
Ocean,452916,1573,347.3,231.4,219.3,243.9
Passaic,475951,1021,214.5,224.7,211.0,239.0
Middlesex,693445,1430,206.2,222.9,211.2,235.0
Burlington,402717,805,199.9,222.8,207.5,239.0
Cumberland,143334,315,219.8,220.5,196.6,246.5
Gloucester,238805,449,188.0,217.8,197.8,239.3
Somerset,256834,501,195.1,217.5,198.7,237.6
Union,501333,1191,237.6,215.9,203.7,228.7
Bergen,843198,2092,248.1,212.5,203.5,221.9
Warren,94616,198,209.3,205.1,177.4,235.9
Hunterdon,112395,179,159.3,197.4,169.1,229.0
Morris,432906,768,177.4,195.8,182.0,210.2
STATE,7948915,18308,230.3,227.3, 224.0,230.7

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
