Cancer Mortality Rates by County in New Jersey
"All Sites, 2006"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Atlantic,271759,671,246.9,224.5,207.8,242.2
Gloucester,280015,591,211.1,216.6,199.3,234.9
Camden,513195,1104,215.1,207.3,195.2,220.0
Cape May,98695,312,316.1,205.2,182.5,230.3
Salem,65831,151,229.4,196.8,166.4,231.4
Cumberland,153371,304,198.2,193.2,172.0,216.3
Warren,109059,232,212.7,193.2,168.9,220.0
Ocean,561302,1692,301.4,192.8,183.4,202.5
Sussex,150508,268,178.1,192.5,169.5,217.8
Mercer,362840,713,196.5,189.5,175.7,204.0
Monmouth,626934,1302,207.7,189.2,179.0,199.9
Passaic,492730,909,184.5,188.3,176.1,201.0
Burlington,448373,885,197.4,183.1,171.2,195.7
Essex,781027,1364,174.6,181.3,171.8,191.3
Hudson,613577,963,156.9,177.6,166.4,189.2
Union,525153,944,179.8,168.9,158.2,180.2
Bergen,889406,1836,206.4,168.2,160.5,176.2
Middlesex,786890,1323,168.1,167.8,158.9,177.2
Morris,487486,883,181.1,167.8,156.8,179.4
Somerset,314993,527,167.3,167.6,153.4,182.7
Hunterdon,128535,206,160.3,159.5,138.1,183.4
STATE,8661679,17180,198.3,183.2, 180.5,186.0

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
