Cancer Mortality Rates by County in New Jersey
"All Sites, 2015"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Cumberland,154580,341,220.6,193.4,173.2,215.5
Cape May,94330,299,317.0,176.5,156.0,199.6
Sussex,143059,308,215.3,174.4,154.6,196.1
Warren,106787,249,233.2,173.4,152.0,197.2
Gloucester,291022,574,197.2,170.6,156.6,185.5
Atlantic,270206,596,220.6,169.9,156.3,184.5
Camden,507760,1011,199.1,169.3,158.8,180.3
Ocean,587238,1605,273.3,166.7,158.4,175.5
Salem,63754,139,218.0,163.9,137.1,194.9
Burlington,447906,913,203.8,160.2,149.8,171.2
Essex,790546,1275,161.3,151.7,143.3,160.4
Mercer,368266,637,173.0,151.4,139.6,164.0
Somerset,329682,573,173.8,145.8,133.8,158.6
Passaic,504556,805,159.6,144.1,134.2,154.6
Bergen,926481,1732,186.9,141.3,134.6,148.3
Monmouth,624180,1143,183.1,140.5,132.2,149.1
Middlesex,825471,1303,157.8,139.8,132.2,147.8
Union,549954,861,156.6,139.7,130.3,149.5
Morris,494370,879,177.8,137.7,128.6,147.4
Hudson,664595,813,122.3,131.9,122.8,141.4
Hunterdon,125569,213,169.6,128.4,111.2,147.8
STATE,8870312,16269,183.4,150.5, 148.2,152.9

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
