Cancer Mortality Rates by County in New Jersey
"All Sites, 2004"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Gloucester,271714,598,220.1,229.9,211.7,249.2
Salem,64835,164,252.9,216.1,184.1,252.2
Cumberland,149837,326,217.6,212.8,190.3,237.3
Atlantic,267723,613,229.0,212.4,195.9,230.0
Camden,510137,1097,215.0,209.2,197.0,222.0
Warren,108491,240,221.2,207.0,181.6,235.1
Cape May,100482,316,314.5,204.2,181.9,228.8
Monmouth,628605,1332,211.9,200.2,189.5,211.3
Ocean,551262,1694,307.3,195.6,186.2,205.5
Essex,791305,1459,184.4,192.4,182.7,202.6
Passaic,493981,910,184.2,190.1,177.9,202.9
Burlington,446548,868,194.4,187.2,174.9,200.1
Sussex,149906,235,156.8,182.9,159.7,208.5
Bergen,893378,1941,217.3,178.7,170.8,186.9
Union,526916,999,189.6,176.4,165.5,187.7
Middlesex,781582,1348,172.5,175.3,166.0,184.9
Morris,483997,861,177.9,171.7,160.4,183.7
Hudson,614607,938,152.6,171.2,160.4,182.6
Mercer,361248,623,172.5,169.3,156.2,183.2
Somerset,310424,466,150.1,157.3,143.2,172.4
Hunterdon,127583,178,139.5,141.8,121.4,164.7
STATE,8634561,17206,199.3,186.9, 184.2,189.8

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
