Cancer Mortality Rates by County in New Jersey
"All Sites, 1991"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Cape May,97006,343,353.6,256.5,229.1,286.4
Essex,779031,1854,238.0,250.2,238.8,261.9
Atlantic,228763,588,257.0,247.5,227.6,268.6
Camden,505772,1124,222.2,243.3,229.1,258.2
Cumberland,140503,337,239.8,240.8,215.4,268.3
Salem,65193,168,257.7,240.1,204.8,279.8
Monmouth,558418,1319,236.2,239.8,227.0,253.2
Hudson,558839,1251,223.9,236.9,223.8,250.6
Gloucester,234449,470,200.5,236.4,214.9,259.3
Ocean,439530,1556,354.0,234.3,222.0,247.1
Bergen,829599,2194,264.5,230.9,221.2,240.9
Union,495646,1250,252.2,230.1,217.3,243.4
Middlesex,679273,1395,205.4,230.0,217.7,242.8
Burlington,399888,793,198.3,229.3,213.2,246.1
Sussex,132384,223,168.4,226.8,197.8,258.7
Mercer,328694,719,218.7,223.9,207.7,241.2
Hunterdon,108668,191,175.8,223.9,192.8,258.4
Warren,92794,203,218.8,218.5,189.2,251.1
Morris,423470,803,189.6,217.4,202.4,233.1
Passaic,470946,943,200.2,209.9,196.6,223.9
Somerset,245810,454,184.7,207.2,188.2,227.5
STATE,7814676,18178,232.6,232.3, 228.9,235.7

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
