Cancer Mortality Rates by County in New Jersey
"All Sites, 2019"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Cumberland,148995,334,224.2,187.1,167.3,208.7
Salem,62341,153,245.4,170.9,144.2,201.6
Cape May,92247,296,320.9,162.2,143.6,183.4
Camden,506503,1008,199.0,160.9,150.9,171.4
Ocean,607498,1598,263.1,159.0,150.9,167.4
Atlantic,263653,587,222.6,158.9,146.0,172.7
Sussex,140710,293,208.2,152.8,135.3,172.3
Gloucester,291842,565,193.6,152.7,140.1,166.2
Warren,105455,228,216.2,149.7,130.2,171.5
Burlington,446160,896,200.8,147.0,137.4,157.2
Monmouth,619687,1171,189.0,135.0,127.1,143.2
Mercer,368047,611,166.0,133.7,123.1,145.0
Passaic,501838,775,154.4,131.9,122.6,141.7
Hunterdon,125201,232,185.3,127.6,111.1,146.2
Union,556664,836,150.2,127.4,118.7,136.5
Middlesex,824394,1270,154.1,127.0,120.0,134.3
Essex,802162,1106,137.9,123.7,116.4,131.3
Morris,491577,844,171.7,122.9,114.6,131.7
Hudson,674030,818,121.4,121.7,113.4,130.5
Bergen,932256,1566,168.0,121.3,115.2,127.6
Somerset,329998,517,156.7,119.2,108.9,130.2
STATE,8891258,15704,176.6,136.4, 134.3,138.6

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
