Cancer Mortality Rates by County in New Jersey
"All Sites, 2013"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Cape May,95540,327,342.3,196.7,175.1,220.7
Gloucester,289935,604,208.3,187.7,172.7,203.6
Cumberland,155912,326,209.1,187.2,167.2,209.0
Salem,64801,162,250.0,185.3,157.2,217.4
Camden,509983,1060,207.8,182.8,171.7,194.4
Sussex,145672,282,193.6,172.4,152.1,194.8
Warren,106933,229,214.2,171.0,149.1,195.4
Atlantic,274360,582,212.1,170.9,157.1,185.6
Burlington,448992,894,199.1,161.8,151.2,173.0
Ocean,582166,1513,259.9,161.7,153.3,170.4
Passaic,503815,836,165.9,155.0,144.5,166.1
Monmouth,626964,1210,193.0,154.2,145.4,163.4
Essex,786685,1236,157.1,151.4,142.9,160.3
Morris,496050,917,184.9,148.4,138.8,158.5
Mercer,369534,621,168.1,147.8,136.2,160.2
Hudson,657101,880,133.9,147.6,137.9,157.8
Middlesex,821811,1314,159.9,147.2,139.2,155.5
Somerset,329052,558,169.6,146.8,134.6,159.9
Hunterdon,126443,223,176.4,145.9,126.7,167.4
Union,546051,871,159.5,145.2,135.5,155.4
Bergen,920021,1670,181.5,138.6,131.9,145.6
STATE,8857821,16315,184.2,155.9, 153.5,158.3

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
