Cancer Mortality Rates by County in New Jersey
"All Sites, 2014"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Salem,64342,187,290.6,221.6,190.1,257.1
Cape May,94961,302,318.0,180.1,159.6,203.1
Cumberland,155887,305,195.7,178.4,158.7,199.9
Gloucester,290742,589,202.6,177.2,162.9,192.5
Atlantic,272634,608,223.0,176.3,162.4,191.2
Camden,508409,1034,203.4,174.9,164.2,186.2
Burlington,449806,964,214.3,169.8,159.0,181.1
Ocean,584563,1597,273.2,169.1,160.6,178.0
Warren,107022,230,214.9,162.9,142.1,186.3
Mercer,369031,666,180.5,158.0,146.0,170.8
Union,548052,951,173.5,156.4,146.5,166.9
Passaic,504483,849,168.3,154.3,144.0,165.3
Sussex,144639,266,183.9,153.6,135.0,174.2
Essex,788796,1278,162.0,152.8,144.4,161.6
Hunterdon,125902,240,190.6,150.9,131.6,172.4
Monmouth,625581,1206,192.8,150.4,141.8,159.4
Middlesex,824331,1369,166.1,149.3,141.4,157.6
Somerset,329378,549,166.7,142.7,130.7,155.5
Hudson,660312,861,130.4,141.7,132.3,151.6
Morris,494931,868,175.4,139.8,130.5,149.7
Bergen,923475,1674,181.3,137.4,130.8,144.3
STATE,8867277,16593,187.1,155.7, 153.3,158.2

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on May 5, 2023."
"Mortality data provided by Center for Health Statistics, NJDOH."
