GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34007","Camden, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",451124,458608,468196,472064,471847,472958,474108,472660,471600,470382,473135,472790,476443,479026,479393,485106,487400,492957,496902,499896,501857,503524,505772,507326,508094,508479,509582,508926,509219,509451,509410,506707,506326,507899,508563,510137,511982,513195,513546,513853,513668,513697,514686,515373,515366,515432,516430,517438,518449,520316,521793,523204,523771
 "34007","Camden, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4094,4354,4651,5016,5470,5939,6393,6912,7522,8391,9198,10357,11407,12173,13179,14274,15258,16099,17144,18572,19854,20635,21043,22300,22975,23394,24320,25434,26655,27755,28801,30180,31738,32625,34057,34898,36071,38234,39638,41008,40751,41362,42945,43575,43992,45566,47195,48403,49938,51717,53811,57483,61642
 "34009","Cape May, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",231777,261323,292415,333999,393430,441926,503624,568484,631487,710744,790161,915302,1037390,1122061,1215357,1335103,1438733,1549740,1655731,1805903,1943603,2040511,2090885,2240070,2346534,2417588,2553398,2674570,2888597,3039729,3155176,3369077,3602102,3706979,3746781,3921471,4017420,4110084,4156495,4171900,4131065,4325360,4485526,4598783,4655080,4830338,4994668,5144513,5371718,5596973,6048337,6496246,6888548
 "34009","Cape May, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",58999,60259,63485,66321,68194,71929,74014,76838,78248,79862,81725,82754,84550,85104,85665,87092,88647,90130,92038,92961,94830,95368,97006,98121,98504,99561,100405,100861,101380,101883,102135,102314,102023,101694,101710,100482,99269,98695,97686,97550,97238,97314,96984,97098,96732,96513,96236,96085,95893,95556,95548,95077,95661
 "34009","Cape May, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3928,4337,4606,5036,5769,6144,6804,7398,8070,8900,9669,11061,12270,13185,14187,15330,16230,17194,17990,19426,20496,21396,21554,22830,23822,24282,25431,26517,28493,29835,30892,32929,35307,36452,36838,39027,40470,41644,42550,42767,42484,44447,46250,47362,48123,50049,51900,53541,56018,58573,63302,68326,72010
 "34011","Cumberland, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",445540,484498,525214,577162,639905,693446,741572,814288,883666,974644,1053511,1159936,1286517,1388387,1482063,1591639,1692975,1809164,1929349,2108069,2310681,2471644,2554847,2740973,2817022,2879171,2961425,3036571,3193119,3262540,3348910,3476178,3686857,3887567,4012112,4117994,4273201,4500710,4678668,4919808,5045718,5202228,5340097,5298878,5297812,5450247,5611940,5673418,5799281,5938092,6217937,6745296,7306345
 "34011","Cumberland, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",120722,122309,126773,129031,130746,133306,134350,135359,135184,134615,133966,133088,133726,133494,132497,134138,135083,135700,135995,136569,137881,138366,140503,141921,143334,144544,144829,145430,145811,145924,146293,146263,146451,147294,148437,149837,152022,153371,154489,155738,156531,156845,157926,158482,158240,158937,158321,157420,156217,156020,155394,153848,153627
 "34011","Cumberland, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3691,3961,4143,4473,4894,5202,5520,6016,6537,7240,7864,8716,9621,10400,11186,11866,12533,13332,14187,15436,16759,17863,18184,19313,19654,19919,20448,20880,21899,22358,22892,23767,25175,26393,27029,27483,28109,29345,30285,31590,32235,33168,33814,33435,33480,34292,35447,36040,37123,38060,40014,43844,47559
 "34013","Essex, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4302229,4656754,4922052,5224304,5522074,5897214,6299425,6692308,7163187,7747448,8400335,9330734,10296215,11006225,11779463,12861789,13557500,14297332,15323120,16698123,17695920,18743120,19091900,20523449,21065121,21725074,22978366,23988246,25119224,26664482,27818552,30787837,31622423,31146078,31981227,33523623,34680686,37234690,39389511,40049108,39182465,40018606,41659057,42215366,42908635,45063781,46946592,48155907,50019521,50986630,54920477,58783567,63528603
 "34013","Essex, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",925274,933179,943413,935175,923206,914528,905741,897539,879368,868386,858841,849376,839991,831087,827316,822219,820168,815669,809714,799975,789566,778564,779031,782855,785960,784460,783308,782503,782774,785348,789678,792253,794312,795625,795167,791305,786341,781027,778996,778165,781943,785456,792823,798191,805701,813810,821613,830312,840783,850474,858463,862032,854917
