GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34033","Salem, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",59364,60673,62456,62387,62702,62487,63902,64498,65160,65316,65380,64647,64409,64892,65162,64833,64574,64362,64441,64971,65284,65383,65193,65143,65035,64691,65095,65397,65242,64899,64483,64177,64069,64434,64345,64835,65388,65831,65864,65974,66183,66046,66195,65992,65610,65393,65042,64779,64704,64777,64572,64859,65046
 "34033","Salem, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4093,4349,4485,4876,5377,5989,6190,6782,7403,8193,8848,9643,10744,11839,12799,14105,15723,15588,15712,16997,18300,19497,20047,21301,21333,22157,23012,24057,24791,25357,26196,27551,29245,30224,31453,33263,33984,35729,37244,39378,39394,40399,41593,40710,41079,41716,43675,44041,44681,46106,48860,52936,57547
 "34035","Somerset, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1010801,1071380,1158359,1263498,1367101,1506550,1648102,1812313,2070221,2336448,2637215,2975488,3383839,3713481,4021101,4564047,4959818,5411809,5955412,6777679,7367338,7978333,8287450,9256470,9542226,10107273,11024914,11973815,12741767,14158485,15127245,17030444,16789781,16712159,17469980,18693934,19571572,20996856,22429213,23090516,22061632,22497566,23263710,24599332,25951196,27464521,29141664,30474903,32841601,34682176,37178946,36764029,39395044
 "34035","Somerset, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",195059,198847,200040,200352,197824,197679,199171,199601,199573,200807,202838,203660,205395,206893,209400,211806,214352,219603,226352,233013,236945,241464,245810,250680,256834,262243,267163,272872,280195,287065,293770,298761,301671,305255,307902,310424,312617,314993,317128,318856,321564,324498,328185,330919,334077,335967,337841,339746,341992,343708,344494,345014,345647
 "34035","Somerset, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5182,5388,5791,6306,6911,7621,8275,9080,10373,11635,13002,14610,16475,17949,19203,21548,23139,24644,26310,29087,31093,33042,33715,36925,37153,38542,41267,43881,45475,49322,51493,57004,55656,54748,56739,60221,62606,66658,70726,72417,68607,69330,70886,74336,77680,81748,86259,89699,96030,100906,107923,106558,113975
 "34037","Sussex, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",320196,349295,394563,454329,518837,582207,645304,725126,812305,940817,1085278,1287124,1444870,1569570,1721427,1925891,2056267,2226069,2431875,2678310,2848883,2961724,3034003,3248478,3422294,3569104,3801094,4044742,4269776,4511992,4895940,5453548,5534961,5731734,5921283,6134848,6327285,6680297,7030589,7194977,6963440,7095817,7306448,7505788,7534676,7827432,7972578,8142516,8362726,8692220,9147619,9571529,10342089
 "34037","Sussex, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",75367,78299,81705,86030,92375,95974,99872,102970,106847,110949,115122,116587,118238,119029,119856,120744,122341,124284,126524,128840,129971,131346,132384,133953,135646,137021,138574,139562,140441,141509,142750,144714,146004,147712,149260,149906,150192,150508,150600,150145,149487,148968,148728,147976,147065,146448,145270,144619,144285,144425,144552,144082,145543
 "34037","Sussex, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4248,4461,4829,5281,5617,6066,6461,7042,7603,8480,9427,11040,12220,13186,14362,15950,16808,17911,19221,20788,21919,22549,22918,24251,25230,26048,27430,28982,30403,31885,34297,37685,37910,38803,39671,40925,42128,44385,46684,47920,46582,47633,49126,50723,51234,53449,54881,56303,57960,60185,63283,66431,71059
 "34039","Union, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2820590,3043857,3229691,3437881,3646874,3881763,4141736,4440906,4831143,5326283,5883493,6580886,7364191,7939271,8422837,9219185,9684619,10201733,10802641,11749946,12389868,12944526,12966354,13999182,14276186,14502125,15388649,16313149,17201540,18448848,18899470,21099946,22326991,22374450,22817322,23033492,23780228,25542153,26890866,27668570,26277489,27200039,28377721,29588191,30311939,32097327,33322779,34259048,35725713,37560775,39375495,40752801,44056643
 "34039","Union, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",538294,543400,545556,539697,533054,525504,521181,518377,513962,510910,508309,504395,504634,504380,505694,505066,505826,504481,501789,498961,496575,494140,495646,497731,501333,504864,507430,510992,513865,517715,520341,523124,526183,527625,527611,526916,526161,525153,524960,527528,532434,537792,542217,547150,552116,556019,559838,564655,568486,572238,574361,574349,572114
 "34039","Union, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5240,5602,5920,6370,6841,7387,7947,8567,9400,10425,11575,13047,14593,15741,16656,18253,19146,20222,21528,23549,24951,26196,26161,28126,28476,28725,30327,31924,33475,35635,36321,40335,42432,42406,43246,43714,45196,48638,51225,52449,49354,50577,52336,54077,54901,57727,59522,60673,62844,65638,68555,70955,77007
 "34041","Warren, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",283277,309939,333134,374977,420850,474927,516307,568662,625518,703714,792130,895209,1000889,1082918,1164385,1281636,1375610,1493927,1620835,1757133,1891319,1971020,2029546,2169913,2249519,2342912,2467246,2605890,2783856,2930162,3140845,3421498,3596517,3770927,3845096,4026012,4171888,4443915,4694826,4830500,4703825,4785304,4919963,5039390,5049675,5231914,5418452,5464937,5626723,5825650,6096895,6439256,6980545
 "34041","Warren, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",72760,74130,74707,76067,76876,78321,78840,79960,80643,81968,82213,84589,85070,85287,85393,86022,86368,87455,88706,89827,90713,91984,92794,93747,94616,95762,96956,98157,98796,99458,101040,102902,105201,106774,108163,108491,108855,109059,109179,109264,108693,108673,108659,108492,108236,108729,108892,108596,108648,108997,109137,109595,110731
 "34041","Warren, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3893,4181,4459,4930,5474,6064,6549,7112,7757,8585,9635,10583,11765,12697,13636,14899,15927,17082,18272,19561,20849,21428,21872,23146,23775,24466,25447,26548,28178,29461,31085,33250,34187,35317,35549,37109,38325,40748,43001,44209,43276,44034,45279,46449,46654,48119,49760,50324,51789,53448,55865,58755,63041
"Note: See the included footnote file."
"CAINC1: County and MSA personal income summary: personal income, population, per capita personal income "
"Last updated: November 16, 2022-- new statistics for 2021; revised statistics for 2010-2020."
"U.S. Bureau of Economic Analysis"
